VALUE,HEIGHT,LEFT,RIGHT,AGE,NATIONALITY,GOAL,ASSIST,MINUTES,SCORINGABILITY,PASS,TACKLE,DRIBBLE,SAVE,CLEANSHEET
7000000,191,0,1,30,1,0.0,0.0,292,-0.1,91.6,3,0.0,0.0,0.0
8000000,188,1,0,29,1,0.07,0.04,2480,-0.3999999999999999,87.1,51,66.7,0.0,0.0
11000000,181,1,0,26,1,0.47,0.18,1535,3.3,79.6,15,73.2,0.0,0.0
1000000,184,0,1,33,0,0.0,0.0,543,0.0,87.2,13,100.0,0.0,0.0
15000000,179,0,1,28,1,1.29,0.07,1260,4.1,71.9,8,50.0,0.0,0.0
25000000,188,0,1,24,1,0.34,0.19,2417,-1.0999999999999996,88.4,30,55.0,0.0,0.0
1000000,190,0,1,18,0,0.0,0.0,17,-0.4,83.3,0,0.0,0.0,0.0
19000000,185,0,1,28,1,0.07,0.17,2721,0.30000000000000004,87.0,49,63.2,0.0,0.0
10000,193,0,1,28,0,0.0,0.0,11,0.0,100.0,0,0.0,0.0,0.0
2000000,192,0,1,27,0,0.0,0.0,525,0.0,85.5,0,0.0,0.737,40.0
3000000,188,0,1,19,1,0.0,0.0,280,-0.1,87.2,2,75.0,0.0,0.0
4500000,180,0,1,25,1,0.0,0.0,211,0.0,89.5,3,71.4,0.0,0.0
12000000,185,0,1,28,1,0.07,0.21,2608,-0.5,82.4,51,76.2,0.0,0.0
12000000,173,1,0,17,1,3.33,0.0,27,0.9,63.2,1,100.0,0.0,0.0
36000000,189,0,1,28,1,0.8,0.27,2026,3.9000000000000004,76.2,4,54.2,0.0,0.0
800,181,0,1,38,0,0.43,0.0,208,-0.30000000000000004,57.9,1,100.0,0.0,0.0
24000000,182,0,1,24,0,0.0,0.0,2810,-1.2,81.9,25,84.6,0.0,0.0
1000000,177,1,0,31,0,0.0,0.0,563,-0.1,72.9,5,50.0,0.0,0.0
16000000,181,1,0,29,0,0.06,0.03,2850,0.6000000000000001,79.7,31,66.2,0.0,0.0
6000000,175,0,1,27,0,0.09,0.13,2872,1.9,74.3,32,68.4,0.0,0.0
3000000,180,1,0,22,0,0.06,0.25,1442,-0.5,69.0,14,53.1,0.0,0.0
2000000,176,0,1,32,0,0.0,0.0,394,-0.1,83.0,4,0.0,0.0,0.0
4000000,179,0,1,29,0,0.0,0.03,3029,-0.5,83.3,43,81.8,0.0,0.0
3000000,178,0,1,29,0,0.0,0.0,695,-1.3,63.3,3,53.3,0.0,0.0
2000000,187,0,1,31,0,0.0,0.0,425,0.0,59.8,0,0.0,0.5,0.0
80000,188,0,1,25,1,0.25,0.0,364,0.8,64.0,0,100.0,0.0,0.0
2000000,180,0,1,21,0,0.0,0.0,250,-0.1,58.4,1,42.9,0.0,0.0
1000000,180,0,1,26,0,0.0,0.14,623,-0.2,68.9,15,29.7,0.0,0.0
2000000,170,0,1,23,0,0.05,0.2,1787,0.19999999999999996,83.0,27,82.6,0.0,0.0
3000000,182,0,1,30,0,0.0,0.17,541,-0.1,73.7,0,50.0,0.0,0.0
25000000,182,1,0,28,0,0.03,0.03,2970,-0.7,79.3,31,72.7,0.0,0.0
14000000,169,0,1,26,0,0.19,0.08,2382,1.0,82.6,23,58.1,0.0,0.0
16000000,186,0,1,22,0,0.0,0.0,1572,-0.4,86.1,10,85.7,0.0,0.0
4000000,187,0,1,30,0,0.0,0.0,359,-0.5,74.4,7,0.0,0.0,0.0
2000000,188,0,1,19,0,0.12,0.12,741,0.09999999999999998,80.8,6,60.7,0.0,0.0
16000000,190,0,1,22,0,0.0,0.0,2991,0.0,58.7,0,0.0,0.767,35.3
2000000,191,1,0,26,0,0.0,0.07,1269,-0.8,78.4,23,57.1,0.0,0.0
3000000,184,1,0,21,0,0.51,0.0,531,0.20000000000000018,63.6,2,45.5,0.0,0.0
40000000,186,0,1,25,0,0.18,0.03,2939,-1.2999999999999998,71.8,13,59.5,0.0,0.0
80000,190,1,0,32,0,0.0,0.0,25,0.0,66.7,0,0.0,1.0,0.0
12000000,177,0,1,27,1,0.0,0.08,1076,-0.5,76.3,17,57.1,0.0,0.0
2000000,177,0,1,18,0,0.0,0.0,25,0.0,40.0,1,0.0,0.0,0.0
22000000,181,0,0,25,1,0.14,0.29,631,-0.7,75.0,7,54.5,0.0,0.0
90000,175,1,0,20,0,0.0,0.0,4,0.0,100.0,0,0.0,0.0,0.0
32000000,171,0,1,24,1,0.22,0.26,2061,-1.5999999999999996,75.3,15,55.4,0.0,0.0
14000000,186,0,1,30,0,0.33,0.27,1350,-1.7999999999999998,71.0,9,55.6,0.0,0.0
25000000,190,0,1,30,1,0.04,0.0,2102,-0.10000000000000009,79.7,18,80.0,0.0,0.0
81000000,180,0,0,19,1,0.31,0.05,1745,-1.4000000000000004,77.2,4,34.5,0.0,0.0
20000000,184,1,0,24,0,0.0,0.0,1217,-0.7,79.6,9,100.0,0.0,0.0
16000000,180,0,1,29,1,0.0,0.16,1123,-0.7,86.4,26,84.2,0.0,0.0
60000000,176,0,1,27,0,0.13,0.17,2698,1.6,82.0,54,65.5,0.0,0.0
24000000,171,1,0,23,1,0.0,0.0,925,-0.5,78.8,9,55.3,0.0,0.0
16000000,184,0,1,24,0,0.2,0.2,1368,1.1,77.9,22,75.8,0.0,0.0
31000000,178,1,0,21,1,0.04,0.08,2396,0.09999999999999998,74.3,46,46.7,0.0,0.0
70000000,185,0,1,24,1,0.0,0.0,1755,-0.5,88.3,11,100.0,0.0,0.0
36000000,187,0,1,26,0,0.51,0.09,2098,-1.0999999999999996,66.9,15,57.6,0.0,0.0
72000000,184,1,0,24,0,0.18,0.0,3072,1.7000000000000002,79.4,65,64.9,0.0,0.0
90000000,188,0,1,26,1,0.0,0.0,3395,0.0,58.1,0,100.0,0.771,44.7
40000000,185,0,1,26,1,0.11,0.0,2549,1.5,83.0,45,83.9,0.0,0.0
25000,187,0,1,22,0,0.0,0.0,8,-0.1,75.0,0,0.0,0.0,0.0
2000000,174,0,1,19,0,0.0,0.0,13,-0.1,33.3,0,0.0,0.0,0.0
8000000,171,1,0,18,0,0.0,0.0,325,0.0,78.0,6,36.4,0.0,0.0
20000000,187,0,1,28,1,0.0,0.0,1980,-0.1,83.4,8,80.0,0.0,0.0
28000000,173,0,1,28,1,0.0,0.18,1979,-0.2,71.7,28,66.7,0.0,0.0
1000000,170,1,0,17,0,0.0,0.0,4,0.0,50.0,0,0.0,0.0,0.0
10000000,185,0,1,29,0,0.22,0.15,1227,0.7999999999999998,84.2,12,56.3,0.0,0.0
10000000,181,0,1,27,1,0.0,0.25,362,0.0,66.9,4,0.0,0.0,0.0
40000,176,0,1,35,0,0.05,0.0,1941,0.5,77.4,23,73.3,0.0,0.0
1500000,183,0,1,22,1,0.24,0.0,381,0.6,54.9,2,53.3,0.0,0.0
1000000,188,0,1,21,1,0.49,0.25,367,0.19999999999999996,71.1,3,60.0,0.0,0.0
12000000,192,1,0,21,0,0.0,0.0,1966,-0.2,83.2,24,80.0,0.0,0.0
2500000,184,0,1,30,1,0.28,0.09,966,-1.2999999999999998,60.7,5,36.4,0.0,0.0
1000000,179,0,1,23,0,0.0,0.15,1175,-0.3,66.3,24,54.5,0.0,0.0
9000000,187,0,1,28,1,0.0,0.05,1645,0.0,76.6,25,71.4,0.0,0.0
5000000,193,1,0,25,1,0.0,0.0,303,-0.2,67.0,3,50.0,0.0,0.0
1000000,171,0,1,24,1,0.0,0.1,886,-0.2,82.5,18,80.0,0.0,0.0
1000000,185,0,1,28,0,0.13,0.0,702,-1.4,55.7,5,66.7,0.0,0.0
6500000,181,1,0,22,1,0.13,0.13,674,0.5,61.1,5,40.0,0.0,0.0
7000000,188,0,1,23,1,0.07,0.0,2638,0.5,76.5,29,60.0,0.0,0.0
2000000,183,0,1,21,1,0.2,0.0,457,0.7,64.8,1,50.0,0.0,0.0
8000000,188,0,1,25,0,0.0,0.07,2649,-0.6,72.0,35,66.7,0.0,0.0
2500000,197,0,1,26,1,0.0,0.0,2160,0.0,59.5,0,100.0,0.582,16.7
80000,182,0,1,35,1,0.0,0.07,1343,0.0,69.2,9,50.0,0.0,0.0
5000000,188,0,1,22,0,0.27,0.13,671,1.3,63.6,10,47.4,0.0,0.0
40000,195,0,1,32,0,0.0,0.0,900,0.0,70.2,0,0.0,0.657,30.0
13000000,177,1,0,25,0,0.27,0.2,2706,4.0,67.2,25,80.0,0.0,0.0
60000,180,0,1,29,1,0.0,0.19,474,-0.1,77.7,14,90.0,0.0,0.0
8000000,187,1,0,28,0,0.43,0.2,2720,0.5,73.5,18,45.8,0.0,0.0
2000000,190,0,1,20,1,0.0,0.0,375,-0.1,65.6,7,0.0,0.0,0.0
72500,174,1,0,22,1,0.0,0.94,96,0.0,75.8,2,20.0,0.0,0.0
8000000,176,0,1,21,0,0.16,0.12,2280,-0.5,60.6,15,43.8,0.0,0.0
60000,186,1,0,30,0,0.0,0.0,43,-0.1,78.6,1,0.0,0.0,0.0
1000000,183,0,1,31,1,0.0,0.0,397,-0.1,85.4,4,100.0,0.0,0.0
55000,183,0,1,28,1,0.0,0.0,111,-0.1,82.1,0,100.0,0.0,0.0
9000000,174,0,1,20,1,0.21,0.04,2530,-0.9000000000000004,63.9,24,48.3,0.0,0.0
